timestamp,size,proto,sport,dport,ttl
1765273298.2799497,54,TCP,53242,443,64
1765273298.2811341,1490,TCP,443,53242,53
1765273298.282181,1355,TCP,443,53242,53
1765273298.2829692,54,TCP,53242,443,64
1765273298.2838545,1455,TCP,443,53242,53
1765273298.3183079,54,TCP,53242,443,64
1765273298.3209176,66,TCP,443,44811,47
1765273298.4420078,66,TCP,53239,443,64
1765273298.6452458,59,TCP,18099,443,64
1765273298.646491,385,TCP,18099,443,64
1765273298.6474228,71,TCP,18099,443,64
1765273298.6611192,60,TCP,80,50542,51
1765273298.6623209,54,TCP,50542,80,64
1765273298.688747,60,TCP,443,18099,49
1765273298.6902728,60,TCP,443,18099,49
1765273298.69176,60,TCP,443,18099,49
1765273299.049274,59,TCP,18099,443,64
1765273299.0505495,385,TCP,18099,443,64
1765273299.0515325,71,TCP,18099,443,64
1765273299.092256,60,TCP,443,18099,49
1765273299.0937097,60,TCP,443,18099,49
1765273299.0946062,60,TCP,443,18099,49
1765273299.6570652,59,TCP,18099,443,64
1765273299.6582825,385,TCP,18099,443,64
1765273299.65987,71,TCP,18099,443,64
1765273299.6999738,60,TCP,443,18099,49
1765273299.7014368,60,TCP,443,18099,49
1765273299.7024484,60,TCP,443,18099,49
1765273300.0638142,59,TCP,18099,443,64
1765273300.0652416,385,TCP,18099,443,64
1765273300.066426,71,TCP,18099,443,64
1765273300.1102145,60,TCP,443,18099,49
1765273300.111815,60,TCP,443,18099,49
1765273300.112671,60,TCP,443,18099,49
1765273300.4521973,66,TCP,53239,443,64
1765273300.669719,59,TCP,18099,443,64
1765273300.670958,385,TCP,18099,443,64
1765273300.6719644,71,TCP,18099,443,64
1765273300.6912513,83,UDP,5353,5353,1
1765273300.7012825,337,UDP,5353,5353,1
1765273300.7144601,60,TCP,443,18099,49
1765273300.7159412,60,TCP,443,18099,49
1765273300.7167819,60,TCP,443,18099,49
1765273301.076828,59,TCP,18099,443,64
1765273301.0781739,385,TCP,18099,443,64
1765273301.0792189,71,TCP,18099,443,64
1765273301.1211736,60,TCP,443,18099,49
1765273301.122693,60,TCP,443,18099,49
1765273301.1235712,60,TCP,443,18099,49
1765273301.6810849,59,TCP,18099,443,64
1765273301.682278,385,TCP,18099,443,64
1765273301.683197,71,TCP,18099,443,64
1765273301.6968782,83,UDP,5353,5353,1
1765273301.6988435,337,UDP,5353,5353,1
1765273301.7269642,60,TCP,443,18099,49
1765273301.7285438,60,TCP,443,18099,49
1765273301.7297068,60,TCP,443,18099,49
1765273301.963459,66,TCP,14919,53,64
